day_diff,add_child_21,treatment,percent_mom_emp
-60,13,0,68.62745098
-59,15,0,60.68965517
-58,17,0,58.43373494
-57,15,0,66
-56,12,0,61.48148148
-55,16,0,55.65217391
-54,13,0,52.7027027
-53,9,0,59.70149254
-52,16,0,63.76811594
-51,18,0,68.70748299
-50,6,0,59.83606557
-49,18,0,51.74825175
-48,20,0,62.02531646
-47,11,0,58.50340136
-46,12,0,64.4295302
-45,10,0,60.28368794
-44,12,0,56.29139073
-43,17,0,57.36434109
-42,11,0,57.82312925
-41,12,0,61.31386861
-40,11,0,58.64661654
-39,13,0,60.29411765
-38,17,0,64.81481481
-37,15,0,58.87096774
-36,16,0,45.58823529
-35,23,0,58.38509317
-34,19,0,61.34969325
-33,19,0,57.89473684
-32,12,0,57.61589404
-31,13,0,65.6
-30,13,0,63.75838926
-29,14,0,59.12408759
-28,17,0,55.15151515
-27,12,0,64.0625
-26,14,0,67.87878788
-25,21,0,58.82352941
-24,16,0,60.8
-23,17,0,67.39130435
-22,11,0,54.96183206
-21,9,0,54.81481481
-20,14,0,50
-19,13,0,57
-18,14,0,55.85106383
-17,13,0,59.84848485
-16,16,0,59.06040268
-15,8,0,62.5
-14,14,0,60.18518519
-13,18,0,56.55172414
-12,13,0,53.90625
-11,11,0,51.63934426
-10,15,0,49.5412844
-9,17,0,55.78231293
-8,10,0,68.06722689
-7,12,0,56.25
-6,10,0,56.41025641
-5,17,0,63.50364964
-4,14,0,62.09677419
-3,15,0,60.74074074
-2,10,0,63.63636364
-1,5,0,56
0,13,1,51.07913669
1,23,1,61.2244898
2,10,1,53.98230088
3,16,1,55.17241379
4,16,1,63.76811594
5,11,1,64.22764228
6,13,1,57.89473684
7,17,1,61.37931034
8,18,1,61.36363636
9,14,1,63.63636364
10,14,1,55.73770492
11,16,1,68.49315068
12,8,1,59.64912281
13,14,1,57.53424658
14,15,1,50.35460993
15,18,1,54.92957746
16,15,1,61.47540984
17,18,1,53.4351145
18,18,1,54.72972973
19,11,1,59.02777778
20,12,1,57.35294118
21,13,1,60
22,18,1,59.47712418
23,14,1,59.75609756
24,15,1,64.28571429
25,13,1,54.48275862
26,10,1,52.83018868
27,18,1,63.19444444
28,15,1,56.46258503
29,13,1,61.98347107
30,15,1,59.02777778
31,15,1,60.30534351
32,17,1,54.61538462
33,17,1,62.29508197
34,18,1,58.86075949
35,16,1,62.23776224
36,14,1,55.46218487
37,12,1,67.9245283
38,13,1,56.15384615
39,21,1,55.625
40,11,1,55.81395349
41,9,1,62.58503401
42,18,1,50.94339623
43,17,1,60.29411765
44,17,1,56.8627451
45,17,1,58.66666667
46,11,1,61.94690265
47,18,1,62.73291925
48,21,1,58.89570552
49,18,1,56.8627451
50,11,1,69.23076923
51,15,1,61.97183099
52,15,1,61.53846154
53,19,1,57.61589404
54,15,1,54.92957746
55,13,1,57.14285714
56,6,1,64.1221374
57,10,1,57.14285714
58,12,1,59.8540146
59,12,1,62.77372263
60,13,1,56.66666667
